time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2021-05-05,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-06,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-07,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-10,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-11,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-12,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-13,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-14,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-17,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-18,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-19,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-20,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-21,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-24,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-25,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-26,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-27,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-28,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-05-31,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-01,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-02,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-03,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-04,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-07,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-08,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-09,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-10,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-11,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-14,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-15,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-16,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-17,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-18,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-21,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-22,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-23,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-24,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-25,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-28,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-29,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-06-30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-01,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-02,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-05,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-06,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-07,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-08,32.0,32.0,32.0,32.0,100,0.0,0.0,0.0,0.0,0.0
2021-07-09,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-12,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-13,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-14,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-15,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-16,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-19,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-20,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-21,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-22,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-23,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-26,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-27,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-28,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-29,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-07-30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-02,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-03,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-04,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-05,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-06,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-09,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-10,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-11,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-12,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-13,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-16,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-17,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-18,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-19,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-20,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-23,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-24,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-25,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-26,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-27,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-08-31,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-01,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-06,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-07,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-08,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-09,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-10,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-13,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-14,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-15,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-16,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-17,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-20,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-21,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-22,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-23,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-24,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-27,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-28,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-29,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-09-30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-01,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-04,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-05,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-06,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-07,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-08,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-11,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-12,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-13,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-14,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-15,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-18,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-19,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-20,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-21,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-22,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-25,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-26,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-27,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-28,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-29,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-01,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-02,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-03,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-04,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-05,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-08,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-09,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-10,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-11,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-12,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-15,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-16,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-17,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-18,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-19,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-22,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-23,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-24,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-25,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-26,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-29,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-11-30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-01,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-02,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-03,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-06,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-07,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-08,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-09,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-10,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-13,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-14,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-15,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-16,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-17,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-20,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-21,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-22,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-23,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-24,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-27,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-28,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-29,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2021-12-31,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-04,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-05,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-06,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-07,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-10,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-11,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-12,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-13,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-14,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-17,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-18,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-19,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-20,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-21,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-24,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-25,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-26,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-27,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-01-28,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-07,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-08,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-09,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-10,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-11,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-14,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-15,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-16,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-17,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-18,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-21,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-22,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-23,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-24,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-25,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-02-28,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-01,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-02,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-03,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-04,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-07,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-08,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-09,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-10,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-11,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-14,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-15,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
2022-03-16,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.0
