time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-03-19,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-03-20,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-03-21,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-03-22,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-03-23,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-03-26,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-03-27,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-03-28,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-03-29,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-03-30,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-02,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-03,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-04,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-05,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-06,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-09,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-10,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-11,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-12,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-13,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-16,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-17,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-18,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-19,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-20,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-23,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-24,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-26,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-04-27,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-02,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-03,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-04,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-07,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-08,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-09,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-10,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-11,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-14,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-15,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-16,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-17,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-18,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-21,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-22,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-23,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-24,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-25,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-28,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-29,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-30,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-05-31,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-01,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-04,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-05,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-06,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-07,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-08,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-11,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-12,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-13,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-14,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-15,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-18,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-19,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-20,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-21,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-22,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-25,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-26,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-27,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-28,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-06-29,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-02,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-03,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-04,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-05,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-06,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-09,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-10,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-11,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-12,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-13,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-16,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-17,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-18,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-19,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-20,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-23,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-24,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-25,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-26,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-27,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-30,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-07-31,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-01,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-02,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-03,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-06,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-07,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-08,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-09,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-10,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-13,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-14,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-15,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-16,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-17,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-20,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-21,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-22,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-23,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-24,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-27,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-28,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-29,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-30,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-08-31,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-04,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-05,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-06,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-07,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-10,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-11,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-12,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-13,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-14,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-17,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-18,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-19,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-20,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-21,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-24,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-25,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-26,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-27,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-09-28,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-01,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-02,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-03,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-04,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-05,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-08,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-09,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-10,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-11,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-12,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-15,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-16,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-17,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-18,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-19,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-22,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-23,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-24,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-25,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-26,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-29,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-30,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-10-31,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-01,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-02,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-05,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-06,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-07,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-08,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-09,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-12,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-13,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-14,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-15,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-16,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-19,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-20,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-21,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-22,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-23,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-26,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-27,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-28,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-29,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-11-30,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
2018-12-03,1.4,1.4,1.4,1.4,0,-66.66666666666667,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0
