time,open,high,low,close,volume
2022-08-09,53.46,54.27,53.46,53.64,83800
2022-08-10,53.64,53.82,53.18,53.27,63000
2022-08-11,53.27,54.0,52.73,52.91,52725
2022-08-12,53.0,53.82,52.91,53.55,66200
2022-08-15,53.64,54.73,53.55,54.09,47400
2022-08-16,54.09,54.55,53.46,53.82,57304
2022-08-17,53.91,54.46,53.82,54.0,67500
2022-08-18,54.0,54.18,52.73,53.46,52500
2022-08-19,53.55,54.0,51.73,51.73,73400
2022-08-22,51.82,51.91,50.27,50.55,44713
2022-08-23,50.64,50.73,49.73,50.73,49836
2022-08-24,50.82,51.82,50.82,51.36,35200
2022-08-25,51.46,52.46,51.36,52.27,48200
2022-08-26,52.36,52.73,51.82,52.0,31100
2022-08-29,52.09,52.09,50.0,50.36,39701
2022-08-30,50.46,51.18,50.0,51.09,42400
2022-08-31,51.18,51.18,50.27,50.27,34700
2022-09-05,50.36,50.64,50.27,50.55,21401
2022-09-06,50.55,51.09,50.55,50.91,14900
2022-09-07,50.91,51.0,50.46,50.46,12000
2022-09-08,50.46,50.82,50.36,50.36,17700
2022-09-09,50.36,50.82,50.09,50.55,22300
2022-09-12,50.55,50.64,50.0,50.09,26600
2022-09-13,50.09,50.09,49.64,49.82,13810
2022-09-14,49.82,49.82,48.64,48.64,22500
2022-09-15,48.64,48.91,48.64,48.82,12810
2022-09-16,48.91,49.0,44.0,44.0,105904
2022-09-19,44.0,44.0,43.18,43.36,17500
2022-09-20,43.45,43.64,43.18,43.64,27900
2022-09-21,43.64,43.64,43.18,43.45,13900
2022-09-22,43.55,43.55,40.18,43.36,34900
2022-09-23,43.36,43.64,42.82,42.82,17000
2022-09-26,42.91,43.0,41.36,41.55,14100
2022-09-27,41.64,41.82,41.55,41.64,9500
2022-09-28,41.73,41.73,40.73,41.09,13201
2022-09-29,41.18,41.82,40.73,40.91,14100
2022-09-30,41.0,41.0,39.73,40.91,12900
2022-10-03,41.0,41.0,39.09,39.09,8901
2022-10-04,39.18,39.73,38.64,38.64,11700
2022-10-05,38.73,39.55,38.73,39.36,8800
2022-10-06,39.45,39.45,37.27,37.27,11700
2022-10-07,37.36,37.36,35.18,35.45,11300
2022-10-10,35.55,36.82,35.18,36.82,18000
2022-10-11,36.82,37.27,36.36,36.36,22500
2022-10-12,36.45,37.18,36.45,37.09,7600
2022-10-13,37.09,37.45,37.09,37.27,6950
2022-10-14,37.36,37.64,37.27,37.45,5504
2022-10-17,37.55,37.91,37.09,37.09,14800
2022-10-18,37.18,37.55,37.18,37.27,4500
2022-10-19,37.36,37.55,37.27,37.27,5504
2022-10-20,37.36,37.55,37.18,37.36,4900
2022-10-21,37.36,37.45,37.09,37.09,5801
2022-10-24,37.09,37.36,36.91,36.91,5300
2022-10-25,37.0,37.18,36.82,37.18,7200
2022-10-26,37.18,37.27,37.0,37.18,4400
2022-10-27,37.27,37.73,37.18,37.73,5973
2022-10-28,37.82,38.36,37.82,38.36,4500
2022-10-31,38.36,38.64,35.0,35.0,23309
2022-11-01,35.09,35.91,35.0,35.0,22510
2022-11-02,35.09,36.27,34.73,34.73,13200
2022-11-03,34.82,35.55,34.73,35.36,5400
2022-11-04,34.73,35.64,34.73,35.18,10500
2022-11-07,35.18,35.45,35.0,35.0,4873
2022-11-08,35.09,36.27,35.0,36.0,11200
2022-11-09,36.0,36.27,35.45,35.91,18200
2022-11-10,36.0,36.09,35.73,35.82,3215
2022-11-11,36.0,36.18,35.73,35.82,6100
2022-11-14,35.82,35.91,35.64,35.73,2900
2022-11-15,35.82,36.0,35.36,35.55,10743
2022-11-16,35.64,36.82,35.55,36.36,23200
2022-11-17,36.45,37.27,36.36,36.91,25847
2022-11-18,37.0,37.09,36.82,36.82,6300
2022-11-21,36.91,37.09,36.82,36.82,9500
2022-11-22,36.91,37.09,36.82,36.91,8421
2022-11-23,37.0,37.27,36.91,36.91,12601
2022-11-24,37.0,37.0,36.73,36.91,4500
2022-11-25,37.0,37.27,36.36,36.36,9800
2022-11-28,36.45,37.64,36.45,37.0,26421
2022-11-29,37.09,38.0,37.0,38.0,59722
2022-11-30,38.09,38.09,35.18,35.18,70100
2022-12-01,35.27,36.64,35.27,36.36,58131
2022-12-02,36.45,36.73,36.36,36.45,85400
2022-12-05,36.55,37.0,36.45,37.0,23670
2022-12-06,37.09,38.18,37.0,37.27,54230
2022-12-07,37.27,38.09,37.27,37.73,53852
2022-12-08,37.82,38.82,37.82,38.36,37875
2022-12-09,38.45,38.91,38.27,38.73,26001
2022-12-12,38.73,38.91,35.64,36.0,78084
2022-12-13,36.09,36.27,33.64,35.91,88600
2022-12-14,36.0,36.09,34.55,34.55,57850
2022-12-15,34.64,34.73,34.0,34.0,41800
2022-12-16,34.18,34.82,32.09,32.09,1861800
2022-12-19,32.18,35.18,32.18,35.0,43600
2022-12-20,35.0,36.27,33.09,34.09,57200
2022-12-21,34.18,34.36,32.45,33.64,51100
2022-12-22,33.73,34.0,33.27,33.82,42702
2022-12-23,33.82,33.91,30.45,33.64,42600
2022-12-26,33.73,33.82,31.45,32.82,51300
2022-12-27,32.82,34.0,32.73,33.0,28700
2022-12-28,33.09,34.36,32.91,34.36,16300
2022-12-29,34.45,35.09,33.64,34.91,29200
2022-12-30,35.0,35.64,34.73,35.45,27700
2023-01-03,35.55,38.18,35.45,37.55,47973
2023-01-04,37.64,38.0,37.55,37.82,21309
2023-01-05,37.91,38.55,37.73,38.18,36543
2023-01-06,38.18,38.18,37.45,37.82,16400
2023-01-09,37.91,37.91,37.09,37.27,10900
2023-01-10,37.27,37.27,36.27,36.91,15350
2023-01-11,37.0,37.64,36.91,37.18,23260
2023-01-12,37.27,37.64,36.91,37.0,10045
2023-01-13,37.09,37.45,37.09,37.18,7102
2023-01-16,37.27,37.45,36.73,36.91,11900
2023-01-17,37.0,37.18,36.55,37.18,11881
2023-01-18,37.18,37.91,37.18,37.55,38500
2023-01-19,37.64,38.09,37.55,37.91,27200
2023-01-27,37.91,38.45,37.91,38.18,22440
2023-01-30,38.27,38.36,37.73,37.73,7500
2023-01-31,37.82,37.82,37.45,37.73,6860
2023-02-01,37.82,37.82,36.55,36.55,15960
2023-02-02,36.64,37.73,36.64,36.82,64683
2023-02-03,36.91,37.09,36.82,37.09,23630
2023-02-06,37.18,37.18,36.91,36.91,8500
2023-02-07,37.0,37.0,36.36,36.36,8710
2023-02-08,36.45,36.73,36.27,36.36,20101
2023-02-09,36.45,36.55,36.0,36.0,12146
2023-02-10,36.09,36.09,35.27,35.36,12903
2023-02-13,35.45,35.45,34.45,35.09,19161
2023-02-14,35.18,35.18,31.64,34.73,51805
2023-02-15,34.82,35.55,34.73,35.27,13880
2023-02-16,35.36,35.91,35.36,35.73,6513
2023-02-17,35.82,36.27,35.82,35.91,10482
2023-02-20,36.0,36.55,36.0,36.45,10300
2023-02-21,36.55,36.82,35.82,36.09,17200
2023-02-22,36.18,36.18,35.27,35.64,18857
2023-02-23,35.73,35.91,35.27,35.36,9900
2023-02-24,35.45,35.73,35.18,35.18,11000
2023-02-27,35.27,35.45,34.91,35.0,8200
2023-02-28,35.09,35.55,35.09,35.18,12700
2023-03-01,35.27,35.73,35.18,35.73,6960
2023-03-02,35.82,36.09,35.45,35.55,7666
2023-03-03,35.64,35.91,35.27,35.27,7774
2023-03-06,35.27,35.73,35.27,35.64,5100
2023-03-07,35.73,35.91,35.64,35.82,6950
2023-03-08,35.91,36.09,35.55,36.09,7600
2023-03-09,36.18,36.73,36.18,36.45,5700
2023-03-10,36.55,36.55,35.91,36.18,8660
2023-03-13,36.27,36.27,35.91,35.91,6800
2023-03-14,35.91,36.36,35.45,35.91,13010
2023-03-15,36.0,36.45,36.0,36.18,16500
2023-03-16,36.27,36.27,35.91,35.91,5454
2023-03-17,36.0,36.09,35.64,35.73,4850
2023-03-20,35.82,35.91,35.45,35.45,5555
2023-03-21,35.55,35.73,35.27,35.73,7500
2023-03-22,35.82,36.27,35.73,36.09,19800
2023-03-23,36.09,36.18,32.73,35.18,92554
2023-03-24,35.36,35.82,35.36,35.64,7691
2023-03-27,35.73,36.09,34.91,35.73,35888
2023-03-28,35.82,35.82,35.45,35.45,6631
2023-03-29,35.55,36.0,35.27,35.64,9042
2023-03-30,35.73,36.09,35.64,35.82,7278
2023-03-31,35.91,36.18,35.82,36.0,5701
2023-04-03,36.09,36.27,36.0,36.09,9145
2023-04-04,36.09,36.18,35.91,35.91,6378
2023-04-05,36.0,36.09,35.91,36.0,13334
2023-04-06,36.09,36.18,35.91,35.91,8950
2023-04-07,36.0,36.09,35.55,35.73,5488
2023-04-10,35.82,35.82,35.09,35.55,10909
2023-04-11,35.64,35.73,35.45,35.64,6801
2023-04-12,35.73,35.73,35.27,35.45,7800
2023-04-13,35.55,35.91,35.45,35.45,5535
2023-04-14,35.55,35.82,35.36,35.64,9641
2023-04-17,35.73,36.18,35.73,35.82,6710
2023-04-18,35.91,36.27,35.82,35.91,7350
2023-04-19,36.0,36.73,35.64,35.64,7441
2023-04-20,35.73,35.91,35.73,35.82,5150
2023-04-21,35.91,36.18,35.64,35.64,7339
2023-04-24,35.73,36.0,35.73,35.73,5200
2023-04-25,35.82,35.82,35.09,35.55,9300
2023-04-26,35.64,35.73,35.09,35.73,11600
2023-04-27,35.73,35.82,35.45,35.73,11803
2023-04-28,35.73,36.18,35.73,35.91,40907
2023-05-04,35.91,36.09,33.91,35.45,51963
2023-05-05,35.45,35.91,35.45,35.64,7600
2023-05-08,35.64,35.82,35.55,35.82,10470
2023-05-09,35.82,36.09,35.45,36.09,11371
2023-05-10,36.18,36.36,36.18,36.27,7719
2023-05-11,36.36,36.45,36.36,36.36,6383
2023-05-12,36.45,36.55,36.09,36.27,7246
2023-05-15,36.36,36.55,36.27,36.36,8850
2023-05-16,36.45,36.64,36.18,36.18,7680
2023-05-17,36.27,36.45,35.91,36.0,7380
2023-05-18,36.09,36.36,36.0,36.27,4602
2023-05-19,36.36,36.82,36.27,36.36,8451
2023-05-22,36.45,36.45,36.27,36.45,7708
2023-05-23,36.55,36.64,36.18,36.18,7456
2023-05-24,36.27,36.45,36.18,36.36,5000
2023-05-25,36.45,36.55,36.0,36.18,9362
2023-05-26,36.27,36.36,36.18,36.27,5058
2023-05-29,36.36,36.64,36.36,36.55,9158
2023-05-30,36.64,36.73,36.09,36.27,19150
2023-05-31,36.36,36.64,35.91,36.09,17350
2023-06-01,36.18,36.36,36.09,36.18,5556
2023-06-02,36.27,36.36,36.0,36.27,16614
2023-06-05,36.36,36.64,36.27,36.45,9700
2023-06-06,36.45,37.27,36.45,36.64,13150
2023-06-07,36.73,37.36,36.73,36.82,14220
2023-06-08,36.91,37.09,36.55,36.55,24135
2023-06-09,36.64,36.82,36.27,36.45,8750
2023-06-12,36.55,36.73,35.91,36.18,12600
2023-06-13,36.27,36.45,36.18,36.36,6700
2023-06-14,36.45,36.55,36.09,36.18,7641
2023-06-15,36.27,36.45,36.0,36.09,6018
2023-06-16,36.0,36.36,36.0,36.18,8301
2023-06-19,36.18,36.36,36.0,36.0,5165
2023-06-20,36.09,36.36,36.0,36.18,12640
2023-06-21,36.27,36.27,35.64,36.18,14000
2023-06-22,36.27,36.45,35.64,36.0,17144
2023-06-23,36.0,36.18,36.0,36.09,2701
2023-06-26,36.18,36.27,35.73,35.91,11922
2023-06-27,36.0,36.18,35.91,36.0,4702
2023-06-28,36.09,36.36,36.09,36.27,7600
2023-06-29,36.36,36.45,36.09,36.09,8111
2023-06-30,36.18,36.45,36.0,36.09,10506
2023-07-03,36.18,36.45,36.18,36.27,9204
2023-07-04,36.36,36.36,35.91,36.09,7307
2023-07-05,36.18,36.36,36.09,36.18,4304
2023-07-06,36.18,36.18,35.64,35.91,23100
2023-07-07,36.0,36.0,35.64,35.91,10755
2023-07-10,36.0,36.0,35.64,35.73,9300
2023-07-11,35.73,36.0,35.73,35.91,5331
2023-07-12,36.0,36.0,35.55,35.64,13445
2023-07-13,35.73,35.82,35.64,35.82,3300
2023-07-14,35.91,36.0,35.82,35.91,4447
2023-07-17,36.0,36.0,35.91,36.0,5494
2023-07-18,36.09,36.09,35.73,35.91,8194
2023-07-19,36.0,36.45,36.0,36.45,9744
2023-07-20,36.55,36.55,36.27,36.45,8800
2023-07-21,36.55,36.55,36.27,36.36,8110
2023-07-24,36.36,36.55,36.27,36.45,7582
2023-07-25,36.55,36.55,36.36,36.55,5200
2023-07-26,36.64,36.64,36.27,36.36,6072
2023-07-27,36.45,36.55,36.09,36.09,9845
2023-07-28,36.18,36.36,36.09,36.18,8234
2023-07-31,36.27,36.45,36.27,36.36,9235
2023-08-01,36.45,36.82,36.36,36.64,22710
2023-08-02,36.73,36.73,36.55,36.55,5234
2023-08-03,36.64,36.73,36.27,36.36,8199
2023-08-04,36.45,36.64,36.36,36.64,4201
2023-08-07,36.73,38.45,36.73,37.09,84233
2023-08-08,37.09,37.55,37.09,37.27,30910
2023-08-09,37.27,37.45,36.82,37.0,21000
2023-08-10,37.0,37.91,37.0,37.27,96932
2023-08-11,37.36,37.73,37.09,37.27,24434
2023-08-14,37.4,37.9,37.4,37.6,34914
2023-08-15,37.7,38.1,37.4,37.4,30100
2023-08-16,37.5,37.5,36.7,37.1,41080
2023-08-17,37.1,37.2,36.7,36.8,30400
2023-08-18,36.8,36.8,35.3,36.2,84605
2023-08-21,36.2,36.4,36.1,36.4,32700
2023-08-22,36.5,36.6,35.4,36.2,46260
2023-08-23,36.3,36.5,36.1,36.5,30300
2023-08-24,36.5,36.8,36.2,36.7,24945
2023-08-25,36.8,36.8,36.4,36.5,7216
2023-08-28,36.6,36.8,35.5,36.0,443541
2023-08-29,36.2,37.2,36.2,36.8,261237
2023-08-30,36.9,37.0,36.4,36.6,58484
2023-08-31,36.7,36.7,35.6,36.4,1096726
2023-09-05,36.5,37.1,36.4,36.7,95856
2023-09-06,36.8,36.8,36.0,36.4,171101
2023-09-07,36.4,36.4,36.1,36.3,92608
2023-09-08,36.4,36.4,36.0,36.3,94765
2023-09-11,36.3,36.4,35.9,36.1,134347
2023-09-12,36.2,36.2,35.9,36.0,42344
2023-09-13,36.1,36.6,36.0,36.1,49024
2023-09-14,36.1,36.2,35.8,35.9,63821
2023-09-15,35.9,36.2,35.9,36.1,27603
2023-09-18,36.2,36.2,35.8,36.0,41041
2023-09-19,36.1,36.3,35.9,35.9,15833
2023-09-20,35.9,36.3,35.7,36.2,55904
2023-09-21,36.3,36.3,35.8,35.8,17721
2023-09-22,35.8,35.9,34.5,35.6,127264
2023-09-25,35.7,35.7,35.0,35.0,32761
2023-09-26,35.0,35.1,34.6,34.8,43981
2023-09-27,34.7,35.0,34.6,34.9,25536
2023-09-28,34.9,35.0,34.7,34.8,11006
2023-09-29,34.9,35.9,34.9,35.2,25588
2023-10-02,35.3,35.8,35.3,35.5,17024
2023-10-03,35.6,35.6,35.0,35.1,28021
2023-10-04,34.9,35.5,34.9,35.4,19816
2023-10-05,35.5,35.6,35.2,35.3,15845
2023-10-06,35.4,35.5,35.3,35.5,5206
2023-10-09,35.6,35.8,35.5,35.8,13646
2023-10-10,35.0,36.1,35.0,36.0,8479
2023-10-11,36.1,36.4,36.0,36.4,25059
2023-10-12,36.5,37.8,36.4,37.0,69666
2023-10-13,37.1,37.1,36.7,36.9,11903
2023-10-16,36.9,36.9,36.0,36.0,28225
2023-10-17,36.1,36.2,36.0,36.1,15317
2023-10-18,36.1,36.1,35.2,35.5,29007
2023-10-19,35.6,35.7,35.5,35.7,16343
2023-10-20,35.8,35.8,35.0,35.5,28369
2023-10-23,35.6,35.6,35.2,35.2,13401
2023-10-24,35.2,35.6,35.1,35.6,16652
2023-10-25,35.7,36.0,35.7,35.9,8701
2023-10-26,36.0,36.0,35.1,35.1,29662
2023-10-27,35.1,35.7,35.0,35.7,16492
2023-10-30,35.8,36.0,35.7,35.7,31521
2023-10-31,35.8,35.9,35.5,35.5,7905
2023-11-01,35.6,35.7,35.0,35.7,35453
2023-11-02,35.8,36.0,35.7,36.0,17350
2023-11-03,36.1,36.3,36.0,36.3,14188
2023-11-06,36.4,36.4,36.0,36.1,12007
2023-11-07,36.2,36.3,36.1,36.1,12077
2023-11-08,36.1,36.6,35.9,36.6,19802
2023-11-09,36.7,36.7,36.4,36.5,14399
2023-11-10,36.6,36.6,36.1,36.1,10528
2023-11-13,36.2,36.3,36.0,36.0,16320
2023-11-14,36.1,36.3,36.0,36.3,14502
2023-11-15,36.4,36.6,36.3,36.6,19720
2023-11-16,36.7,36.7,36.1,36.1,8987
2023-11-17,36.2,36.3,35.6,35.8,14823
2023-11-20,35.9,36.1,35.8,36.0,5230
2023-11-21,36.1,36.3,36.0,36.1,9539
2023-11-22,36.2,36.2,35.7,35.9,15320
2023-11-23,36.0,36.0,35.5,35.6,17084
2023-11-24,35.7,35.7,35.3,35.6,9400
2023-11-27,35.7,35.7,35.3,35.4,11630
2023-11-28,35.5,35.5,35.2,35.4,13590
2023-11-29,35.4,35.6,35.3,35.5,21111
2023-11-30,35.6,35.8,34.6,34.8,139033
2023-12-01,34.9,35.2,34.8,35.2,5042
2023-12-04,35.3,35.5,35.0,35.5,13542
2023-12-05,35.6,35.6,35.3,35.4,8201
2023-12-06,35.4,35.5,35.0,35.2,19217
2023-12-07,35.2,35.2,34.9,35.0,19470
2023-12-08,35.1,35.2,35.0,35.2,7173
2023-12-11,35.3,35.3,35.1,35.3,7926
2023-12-12,35.4,35.4,35.1,35.2,6936
2023-12-13,35.3,35.3,35.0,35.0,5880
2023-12-14,35.1,35.1,34.6,34.8,7347
2023-12-15,34.9,35.0,34.7,34.7,6452
2023-12-18,34.8,34.9,34.7,34.8,4226
2023-12-19,34.9,34.9,34.8,34.9,2227
2023-12-20,35.0,35.1,34.8,35.1,10462
2023-12-21,35.2,35.2,34.9,34.9,5356
2023-12-22,35.0,35.1,34.9,35.1,4443
2023-12-25,35.2,35.4,35.0,35.4,10527
2023-12-26,35.5,35.6,35.3,35.4,8591
2023-12-27,35.5,35.5,35.3,35.5,8501
2023-12-28,35.5,35.6,35.3,35.4,5202
2023-12-29,35.5,35.6,35.0,35.3,25208
2024-01-02,35.4,35.4,35.1,35.2,4001
2024-01-03,35.3,35.3,35.2,35.3,4501
2024-01-04,35.4,35.6,35.3,35.6,9700
2024-01-05,35.7,35.7,35.5,35.6,5646
2024-01-08,35.7,35.7,35.4,35.4,4500
2024-01-09,35.5,35.5,35.1,35.2,10940
2024-01-10,35.3,35.3,35.1,35.1,5501
2024-01-11,35.2,35.4,35.1,35.4,10112
2024-01-12,35.5,35.5,35.3,35.4,3500
2024-01-15,35.5,35.5,35.3,35.3,3400
2024-01-16,35.4,35.5,35.3,35.5,4230
2024-01-17,35.6,35.7,35.4,35.4,4220
2024-01-18,35.4,35.5,35.3,35.3,3700
2024-01-19,35.4,35.6,35.3,35.5,4839
2024-01-22,35.6,35.6,35.4,35.5,3363
2024-01-23,35.6,35.6,35.3,35.4,2717
2024-01-24,35.5,35.5,35.3,35.3,2203
2024-01-25,35.4,35.4,35.3,35.4,2841
2024-01-26,35.5,35.6,35.4,35.6,5010
2024-01-29,35.7,35.7,35.0,35.4,8500
2024-01-30,35.5,35.5,35.4,35.4,2670
2024-01-31,35.5,35.5,35.2,35.3,6901
2024-02-01,35.4,35.5,34.7,35.0,10010
2024-02-02,35.1,35.3,35.1,35.2,6300
2024-02-05,35.3,35.3,35.0,35.1,6335
2024-02-06,35.2,35.3,35.1,35.3,2900
2024-02-07,35.4,35.4,35.3,35.3,700
2024-02-15,35.4,35.6,35.3,35.6,4151
2024-02-16,35.7,35.7,35.1,35.3,10317
2024-02-19,35.4,35.4,35.2,35.3,2609
2024-02-20,35.4,35.4,35.0,35.1,8631
2024-02-21,35.2,35.3,35.1,35.2,4088
2024-02-22,35.3,35.3,35.1,35.3,6858
2024-02-23,35.3,35.4,35.1,35.1,3702
2024-02-26,35.2,35.2,34.8,35.0,15000
2024-02-27,35.1,35.1,34.9,34.9,5700
2024-02-28,35.0,35.2,34.9,35.2,2900
2024-02-29,35.3,35.3,35.1,35.2,7800
2024-03-01,35.2,35.3,35.1,35.1,3010
2024-03-04,35.2,35.2,34.9,35.0,10302
2024-03-05,35.1,35.1,34.9,35.0,2445
2024-03-06,35.1,35.1,34.8,34.8,5660
2024-03-07,34.9,34.9,34.6,34.8,5400
2024-03-08,34.9,34.9,34.8,34.9,1500
2024-03-11,35.0,35.0,34.7,34.8,4906
2024-03-12,34.9,34.9,34.7,34.8,2903
2024-03-13,34.9,35.1,34.6,35.0,12347
2024-03-14,35.1,35.1,34.8,34.9,8500
2024-03-15,35.0,35.0,34.8,34.9,4900
2024-03-18,35.0,35.0,34.7,34.7,4909
2024-03-19,34.8,34.8,34.5,34.7,6505
2024-03-20,34.8,34.9,34.6,34.9,3706
2024-03-21,35.0,35.0,34.9,35.0,3945
2024-03-22,35.1,35.1,34.8,35.0,13379
2024-03-25,35.1,35.1,34.8,34.9,5905
2024-03-26,35.0,35.2,34.7,35.2,12200
2024-03-27,35.3,35.3,35.0,35.1,4922
2024-03-28,35.1,35.2,35.1,35.2,5700
2024-03-29,35.2,35.2,35.0,35.1,5401
2024-04-01,35.2,35.2,34.9,35.0,3940
2024-04-02,35.1,35.1,34.9,35.0,4403
2024-04-03,35.1,35.1,34.9,35.1,3606
2024-04-04,35.1,35.2,35.0,35.0,3502
2024-04-05,35.0,35.0,34.9,34.9,1903
2024-04-08,35.0,35.1,34.8,34.9,5406
2024-04-09,35.0,35.1,34.7,34.9,6504
2024-04-10,35.0,35.1,34.9,35.1,4274
2024-04-11,35.2,35.2,34.9,35.0,3401
2024-04-12,35.1,35.2,35.0,35.1,3440
2024-04-15,35.2,35.2,34.9,34.9,2706
2024-04-16,35.0,35.0,34.8,34.8,2200
2024-04-17,34.9,34.9,34.8,34.8,2100
2024-04-19,34.9,34.9,34.5,34.8,5200
2024-04-22,34.9,34.9,34.8,34.9,2531
2024-04-23,35.0,35.2,34.8,35.1,8900
2024-04-24,35.2,35.3,35.1,35.3,3000
2024-04-25,35.4,35.4,35.3,35.3,2061
2024-04-26,35.4,35.4,35.3,35.3,1260
2024-05-02,35.4,35.5,35.3,35.5,2140
2024-05-03,35.6,35.6,35.4,35.4,1760
2024-05-06,35.5,35.5,35.4,35.5,2200
2024-05-07,35.6,35.6,35.5,35.6,2528
2024-05-08,35.7,36.2,35.7,35.9,12500
2024-05-09,36.0,36.1,35.9,35.9,1563
2024-05-10,36.0,36.1,35.8,35.8,3350
2024-05-13,35.9,35.9,35.7,35.7,2860
2024-05-14,35.8,35.8,35.8,35.8,1203
2024-05-15,35.9,35.9,35.7,35.7,2300
2024-05-16,35.8,35.8,35.6,35.6,2460
2024-05-17,35.7,35.8,35.7,35.8,925
2024-05-20,35.9,35.9,35.7,35.7,2601
2024-05-21,35.8,35.8,35.6,35.7,1903
2024-05-22,35.8,35.8,35.5,35.5,2221
2024-05-23,35.6,35.6,35.4,35.5,2260
2024-05-24,35.6,35.7,35.5,35.5,1977
2024-05-27,35.6,35.6,35.6,35.6,409
2024-05-28,35.7,35.7,35.5,35.7,3953
2024-05-29,35.8,36.0,35.2,35.7,5900
2024-05-30,35.6,35.6,35.3,35.4,6600
2024-05-31,35.5,35.5,35.2,35.3,6602
2024-06-03,35.5,35.6,35.3,35.3,5110
2024-06-04,35.4,35.4,35.1,35.2,11680
2024-06-05,35.3,35.3,34.9,35.0,9002
2024-06-06,35.0,35.0,34.7,34.8,7572
2024-06-07,34.9,34.9,34.8,34.8,3000
2024-06-10,34.9,34.9,34.7,34.8,5900
2024-06-11,34.9,34.9,34.6,34.7,1401
2024-06-12,34.8,35.0,34.6,34.8,25634
2024-06-13,34.9,34.9,34.8,34.8,1200
2024-06-14,34.9,35.2,34.9,35.2,5002
2024-06-17,35.4,35.4,35.3,35.3,805
2024-06-18,35.5,35.5,35.3,35.3,2700
2024-06-19,35.5,35.5,35.1,35.2,2600
2024-06-20,35.4,35.4,35.1,35.3,2900
2024-06-21,35.4,35.4,35.2,35.2,2700
2024-06-24,35.4,35.4,35.0,35.1,5100
2024-06-25,35.3,35.3,35.1,35.1,1700
2024-06-26,35.3,35.3,35.2,35.2,201
2024-06-27,35.4,35.4,34.9,35.0,2700
2024-06-28,35.2,35.2,34.9,34.9,5601
2024-07-01,35.1,35.1,34.9,35.0,2800
2024-07-02,35.0,35.2,35.0,35.1,4400
2024-07-03,35.1,35.3,35.1,35.2,1800
2024-07-04,35.4,35.4,35.3,35.3,220
2024-07-05,35.5,35.5,35.0,35.1,6900
2024-07-08,35.2,35.2,35.1,35.2,500
2024-07-09,35.3,35.8,35.3,35.6,23618
2024-07-10,35.6,35.7,35.4,35.5,3717
2024-07-11,35.6,35.7,35.4,35.4,6227
2024-07-12,35.5,35.5,35.3,35.4,2305
2024-07-15,35.5,35.5,35.0,35.3,6300
2024-07-16,35.2,35.4,35.2,35.4,900
2024-07-17,35.6,35.6,35.2,35.4,3500
2024-07-18,35.6,35.6,35.3,35.3,1127
2024-07-19,35.5,35.5,35.2,35.2,309
2024-07-22,35.4,35.4,35.4,35.4,300
2024-07-23,35.6,35.6,35.3,35.4,4812
2024-07-24,35.6,35.6,35.4,35.5,900
2024-07-25,35.7,35.7,35.5,35.5,2700
2024-07-26,35.7,35.7,35.6,35.6,1000
2024-07-29,35.8,35.8,35.6,35.6,200
2024-07-30,35.8,35.8,35.4,35.4,1400
2024-07-31,35.6,35.6,35.3,35.3,300
2024-08-01,35.5,35.5,35.1,35.1,3700
2024-08-02,35.3,35.3,35.1,35.1,1300
2024-08-05,35.3,35.3,34.6,34.7,9600
2024-08-06,34.9,34.9,34.7,34.8,1500
2024-08-07,35.0,35.0,34.9,34.9,500
2024-08-08,35.1,35.1,34.8,34.8,2400
2024-08-09,34.8,35.0,34.2,35.0,8500
2024-08-12,34.9,35.1,34.9,35.0,5100
2024-08-13,34.9,35.1,34.9,35.1,700
2024-08-14,35.3,35.3,35.1,35.1,200
2024-08-15,35.3,35.3,35.1,35.3,800
2024-08-16,35.5,35.5,35.2,35.5,2300
2024-08-19,35.7,35.7,35.5,35.5,1100
2024-08-20,35.7,35.7,35.5,35.6,1300
2024-08-21,35.8,35.8,35.4,35.5,3500
2024-08-22,35.7,35.7,35.5,35.6,500
2024-08-23,35.7,35.7,35.4,35.5,2200
2024-08-26,35.7,35.7,35.7,35.7,100
2024-08-27,35.9,35.9,35.6,35.7,2400
2024-08-28,35.9,35.9,35.6,35.6,1600
2024-08-29,35.6,35.8,35.6,35.6,1200
2024-08-30,35.8,35.8,35.6,35.7,1700
2024-09-04,35.9,35.9,35.9,35.9,100
2024-09-05,35.9,35.9,35.7,35.8,2600
2024-09-06,35.9,35.9,35.8,35.8,1500
2024-09-09,36.0,36.0,35.8,35.8,500
2024-09-10,36.0,36.0,35.7,35.8,500
2024-09-11,36.0,36.0,35.8,35.8,700
2024-09-12,36.0,36.0,35.7,35.7,200
2024-09-13,35.9,35.9,35.8,35.8,600
2024-09-16,36.0,36.0,35.8,35.9,1700
2024-09-17,36.0,36.0,35.8,35.8,1200
2024-09-18,36.0,36.0,35.8,35.8,400
2024-09-19,35.6,35.8,35.6,35.8,700
2024-09-20,36.0,36.0,35.6,35.9,3200
2024-09-23,36.0,36.0,35.8,35.8,1100
2024-09-24,35.9,35.9,35.7,35.7,200
2024-09-25,35.7,35.7,35.6,35.6,2200
2024-09-26,35.8,35.8,35.5,35.5,1300
2024-09-27,35.7,35.7,35.5,35.5,1600
2024-09-30,35.5,35.5,35.5,35.5,1400
2024-10-01,35.5,35.5,35.5,35.5,1100
2024-10-02,35.7,35.7,35.5,35.5,1600
2024-10-03,35.7,35.7,35.4,35.4,2600
